"work_year","experience_level","employment_type","job_title","salary_in_usd","company_size"
2020,"MI","FT","Data Scientist"," 62,726","S"
2020,"MI","FT","Data Scientist"," 42,197","S"
2021,"EN","FT","Research Scientist"," 82,528","L"
2021,"EX","FT","BI Data Analyst","150,000","L"
2021,"EX","FT","Head of Data","235,000","L"
2021,"SE","FT","Data Scientist"," 53,192","L"
2021,"MI","FT","BI Data Analyst","100,000","M"
2021,"MI","PT","3D Computer Vision Researcher","  5,409","M"
2021,"MI","CT","ML Engineer","270,000","L"
2021,"EN","FT","Data Analyst"," 80,000","M"
2021,"SE","FT","Data Analytics Engineer"," 79,197","L"
2021,"MI","FT","Data Engineer","140,000","L"
2021,"MI","FT","Applied Data Scientist"," 54,238","L"
2021,"MI","FT","Machine Learning Engineer"," 47,282","S"
2021,"EX","FT","Director of Data Science","153,667","L"
2021,"MI","FT","Data Engineer"," 28,476","L"
2021,"EN","FT","Data Analyst"," 59,102","M"
2021,"MI","FT","Data Analytics Engineer","110,000","L"
2021,"SE","FT","Lead Data Analyst","170,000","L"
2021,"SE","FT","Data Analyst"," 80,000","S"
2021,"SE","FT","Marketing Data Analyst"," 88,654","L"
2021,"EN","FT","Data Science Consultant"," 76,833","S"
2021,"MI","FT","Lead Data Analyst"," 19,609","L"
2021,"SE","FT","Lead Data Engineer","276,000","L"
2021,"EN","FT","Data Scientist"," 29,751","L"
2021,"MI","FT","Cloud Data Engineer"," 89,294","L"
2021,"EN","PT","AI Scientist"," 12,000","S"
2021,"MI","FT","Financial Data Analyst","450,000","L"
2021,"EN","FT","Computer Vision Software Engineer"," 70,000","M"
2021,"MI","FT","Computer Vision Software Engineer"," 95,746","S"
2021,"MI","FT","Data Analyst"," 75,000","L"
2021,"SE","FT","Data Engineer","150,000","L"
2021,"MI","FT","BI Data Analyst"," 36,259","L"
2021,"MI","FT","Data Analyst"," 62,000","L"
2021,"MI","FT","Data Scientist"," 73,000","L"
2021,"MI","FT","Data Analyst"," 51,519","L"
2021,"MI","FT","Research Scientist","187,442","L"
2021,"SE","FT","Data Engineer","115,000","S"
2021,"SE","FT","Data Engineer","150,000","M"
2021,"EN","FT","Data Engineer"," 30,428","L"
2021,"SE","FT","Machine Learning Engineer"," 94,564","L"
2021,"SE","FT","Director of Data Engineering","113,476","M"
2021,"SE","FT","Lead Data Engineer","103,160","S"
2021,"EN","PT","AI Scientist"," 12,000","M"
2021,"MI","FT","Data Engineer"," 45,391","L"
2021,"EN","FT","Machine Learning Scientist","225,000","L"
2021,"MI","FT","Data Scientist"," 50,000","L"
2021,"MI","FT","Data Science Engineer"," 40,189","M"
2021,"EN","FT","Data Analyst"," 90,000","S"
2021,"MI","FT","Data Engineer","200,000","L"
2021,"MI","FT","Big Data Engineer"," 60,000","M"
2021,"SE","FT","Principal Data Engineer","200,000","M"
2021,"EN","FT","Data Analyst"," 50,000","M"
2021,"EN","FT","Applied Data Scientist","110,037","L"
2021,"EN","PT","Data Analyst"," 10,354","M"
2021,"MI","FT","Principal Data Scientist","151,000","L"
2021,"SE","FT","Machine Learning Scientist","120,000","S"
2021,"MI","FT","Data Scientist","  9,466","S"
2021,"EN","FT","Machine Learning Engineer"," 20,000","S"
2021,"SE","FT","Lead Data Scientist"," 40,570","L"
2021,"EN","FT","Machine Learning Developer","100,000","S"
2021,"EN","FT","Data Scientist"," 49,646","M"
2021,"MI","FT","Applied Machine Learning Scientist"," 38,400","M"
2021,"SE","FT","Computer Vision Engineer"," 24,000","M"
2021,"EN","FT","Data Scientist","100,000","S"
2021,"MI","FT","Data Analyst"," 90,000","M"
2021,"MI","FT","ML Engineer"," 63,711","S"
2021,"MI","FT","ML Engineer"," 77,364","S"
2021,"SE","FT","Principal Data Scientist","220,000","L"
2021,"EN","FT","Data Scientist"," 80,000","M"
2021,"MI","FT","Data Analyst","135,000","L"
2021,"SE","FT","Data Science Manager","240,000","L"
2021,"SE","FT","Data Engineering Manager","150,000","L"
2021,"MI","FT","Data Scientist"," 82,500","S"
2021,"MI","FT","Data Engineer","100,000","L"
2021,"SE","FT","Machine Learning Engineer"," 82,744","M"
2021,"MI","FT","Research Scientist"," 62,649","M"
2021,"MI","FT","Data Engineer"," 90,000","L"
2021,"SE","FT","Data Engineering Manager","153,000","L"
2021,"SE","FT","Cloud Data Engineer","160,000","S"
2021,"SE","FT","Director of Data Science","168,000","S"
2021,"MI","FT","Data Scientist","150,000","M"
2021,"MI","FT","Data Scientist"," 75,774","L"
2021,"EN","FT","Data Scientist"," 13,400","L"
2021,"SE","FT","Data Science Manager","144,000","L"
2021,"SE","FT","Data Science Engineer","127,221","L"
2021,"MI","FT","Data Scientist","119,059","M"
2021,"MI","FT","Applied Machine Learning Scientist","423,000","L"
2021,"SE","FT","Data Analytics Manager","120,000","M"
2021,"EN","FT","Machine Learning Engineer","125,000","S"
2021,"EX","FT","Head of Data","230,000","L"
2021,"EX","FT","Head of Data Science"," 85,000","M"
2021,"MI","FT","Data Engineer"," 28,369","L"
2021,"EN","FT","Data Science Consultant"," 63,831","L"
2021,"EX","FT","Director of Data Science","130,026","M"
2021,"SE","FT","Data Specialist","165,000","L"
2021,"EN","FT","Data Engineer"," 80,000","L"
2021,"EX","FT","Director of Data Science","250,000","L"
2021,"EN","FT","BI Data Analyst"," 55,000","S"
2021,"MI","FT","Data Architect","150,000","L"
2021,"MI","FT","Data Architect","170,000","L"
2021,"MI","FT","Data Engineer"," 82,528","L"
2021,"EN","FT","Data Analyst"," 60,000","S"
2021,"SE","FT","Principal Data Scientist","235,000","L"
2021,"SE","FT","Research Scientist"," 60,757","L"
2021,"SE","FT","Data Engineering Manager","174,000","L"
2021,"MI","FT","Data Scientist","  2,859","S"
2021,"MI","FT","Data Scientist"," 40,038","L"
2021,"EN","FT","Machine Learning Engineer"," 81,000","S"
2021,"MI","FT","Data Scientist","  5,679","S"
2021,"MI","FT","Big Data Engineer"," 22,611","L"
2021,"MI","FT","Data Scientist"," 90,734","L"
2021,"MI","FT","Data Engineer"," 26,005","L"
2021,"SE","FT","Finance Data Analyst"," 61,896","L"
2021,"MI","FL","Machine Learning Scientist"," 12,000","M"
2021,"MI","FT","Data Engineer","  4,000","M"
2021,"SE","FT","Data Analytics Engineer"," 50,000","M"
2021,"EX","FT","Data Science Consultant"," 69,741","S"
2021,"SE","FT","Data Engineer"," 76,833","S"
2021,"MI","FT","Machine Learning Engineer"," 74,000","S"
2021,"SE","FT","Data Science Manager","152,000","L"
2021,"EN","FT","Machine Learning Engineer"," 21,844","M"
2021,"MI","FT","Big Data Engineer"," 18,000","S"
2021,"SE","FT","Data Science Manager","174,000","L"
2021,"SE","FT","Research Scientist"," 96,113","L"
2021,"MI","FT","Data Scientist","147,000","L"
2021,"EN","FT","BI Data Analyst","  9,272","S"
2021,"SE","FT","Machine Learning Engineer"," 24,342","L"
2021,"SE","FT","Data Science Manager"," 54,094","L"
2021,"EN","FT","Data Science Consultant"," 90,000","S"
2021,"MI","FT","Data Scientist"," 61,467","M"
2021,"SE","FT","Machine Learning Infrastructure Engineer","195,000","M"
2021,"MI","FT","Data Scientist"," 37,825","L"
2021,"SE","FT","Research Scientist"," 50,000","S"
2021,"MI","FT","Data Scientist","160,000","L"
2021,"MI","FT","Data Scientist"," 12,901","S"
2021,"SE","FT","Machine Learning Engineer","200,000","L"
2021,"SE","FT","Data Engineer","165,000","M"
2021,"MI","FL","Data Engineer"," 20,000","L"
2021,"SE","FT","Data Analytics Manager","120,000","L"
2021,"MI","FT","Machine Learning Engineer"," 24,823","L"
2021,"MI","FT","Research Scientist"," 56,738","S"
2021,"MI","FT","Data Engineer"," 66,022","S"
2021,"EN","FT","Big Data Engineer","  5,882","L"
2021,"EN","FT","Machine Learning Engineer"," 24,823","M"
2021,"SE","FT","Principal Data Engineer","185,000","L"
2021,"EN","PT","Computer Vision Engineer"," 28,609","S"
2021,"MI","FT","Data Scientist"," 90,734","L"
2021,"MI","FT","Machine Learning Engineer"," 88,654","M"
2021,"SE","FT","Data Analytics Manager","140,000","L"
2021,"MI","FT","Machine Learning Engineer"," 46,597","L"
2021,"MI","FT","Data Scientist","116,914","L"
2021,"MI","FT","Data Scientist"," 33,808","M"
2021,"MI","FT","Data Scientist"," 56,256","L"
2021,"SE","FT","Machine Learning Scientist","225,000","L"
2021,"EX","CT","Principal Data Scientist","416,000","S"
2021,"SE","FT","Data Scientist"," 87,738","S"
2021,"MI","FT","Data Scientist"," 88,654","L"
2021,"SE","FT","Data Scientist","135,000","L"
2021,"SE","FT","Data Analyst"," 71,786","M"
2021,"EN","FT","Big Data Engineer"," 16,228","L"
2021,"SE","FT","ML Engineer","256,000","S"
2021,"SE","FT","Director of Data Engineering","200,000","L"
2021,"SE","FT","Data Analyst","200,000","L"
2021,"MI","FT","Data Architect","180,000","L"
2021,"MI","FT","Head of Data Science","110,000","S"
2021,"MI","FT","Research Scientist"," 63,810","M"
2021,"MI","FT","Data Scientist"," 46,809","M"
2021,"EN","FT","Data Scientist","  4,000","M"
2021,"EN","FT","Data Engineer"," 21,637","M"
2021,"SE","FT","Data Scientist","103,691","L"
2021,"MI","FT","Data Analyst"," 80,000","L"
2021,"MI","FT","Data Engineer","110,000","L"
2021,"SE","FT","Data Scientist","165,000","L"
2021,"EN","FT","AI Scientist"," 18,053","S"
2021,"MI","FT","Data Engineer"," 72,212","L"
2021,"EN","FT","Data Scientist"," 36,643","L"
2021,"MI","FT","Data Engineer"," 12,103","M"
2021,"SE","FT","Data Engineer"," 96,282","L"
2021,"SE","FT","Principal Data Analyst","170,000","M"
2021,"MI","FT","Data Scientist","115,000","L"
2021,"EN","FT","Data Scientist"," 90,000","S"
2021,"EX","FT","Principal Data Engineer","600,000","L"
2021,"EN","FT","Data Scientist"," 28,399","M"
2021,"MI","FT","Data Analyst"," 93,000","L"
2021,"SE","FT","Big Data Architect"," 99,703","M"
2021,"MI","FT","Data Engineer","200,000","L"
2021,"SE","FT","Principal Data Scientist","173,762","M"
2021,"SE","FT","Machine Learning Engineer","185,000","L"
2021,"EX","FT","Director of Data Science","141,846","L"
2021,"MI","FT","Data Scientist","130,000","L"
2021,"SE","FT","Data Analyst"," 63,831","L"
2021,"MI","FT","Data Scientist"," 16,904","S"
2021,"SE","FT","Machine Learning Engineer"," 66,265","L"
2021,"MI","FT","Data Scientist"," 25,532","S"
2021,"SE","FT","Lead Data Engineer","160,000","S"
2021,"MI","FT","Data Engineer"," 93,150","M"
2021,"MI","FT","Data Engineer","111,775","M"
2021,"MI","FT","Data Engineer"," 28,016","M"
2021,"EN","FT","Data Engineer"," 65,013","M"
2021,"EN","FT","Data Engineer"," 72,500","L"
2021,"SE","FT","Computer Vision Engineer"," 18,907","M"
2021,"EN","FT","Data Science Consultant"," 76,833","L"
2021,"EN","FT","Machine Learning Engineer"," 85,000","S"
2021,"SE","FT","Data Scientist"," 77,684","M"
2021,"EN","FT","Data Scientist","100,000","M"
2021,"EN","FT","Data Scientist"," 58,000","L"
2021,"SE","FT","AI Scientist"," 55,000","L"
2021,"SE","FT","Data Scientist"," 20,171","L"
2021,"EN","FT","Business Data Analyst"," 59,102","L"
2021,"MI","FT","Data Engineer","112,000","L"
2021,"EN","FT","Research Scientist","100,000","L"
2021,"MI","PT","Data Engineer"," 69,741","L"
2021,"SE","CT","Staff Data Scientist","105,000","M"
2021,"MI","FT","Research Scientist"," 69,999","L"
2021,"SE","FT","Data Science Manager"," 94,665","L"
2021,"SE","FT","Head of Data","102,839","L"
2021,"MI","FT","Data Scientist","109,000","L"
2021,"MI","FT","Machine Learning Engineer"," 51,064","L"
2022,"SE","FT","Data Engineer","135,000","M"
2022,"SE","FT","Data Analyst","155,000","M"
2022,"SE","FT","Data Analyst","120,600","M"
2022,"MI","FT","Data Scientist","130,000","M"
2022,"MI","FT","Data Scientist"," 90,000","M"
2022,"MI","FT","Data Engineer","170,000","M"
2022,"MI","FT","Data Engineer","150,000","M"
2022,"SE","FT","Data Analyst","102,100","M"
2022,"SE","FT","Data Analyst"," 84,900","M"
2022,"SE","FT","Data Scientist","136,620","M"
2022,"SE","FT","Data Scientist"," 99,360","M"
2022,"SE","FT","Data Scientist","117,789","M"
2022,"SE","FT","Data Scientist","104,702","M"
2022,"SE","FT","Data Scientist","146,000","M"
2022,"SE","FT","Data Scientist","123,000","M"
2022,"EN","FT","Data Engineer"," 52,351","M"
2022,"SE","FT","Data Analyst"," 99,000","M"
2022,"SE","FT","Data Analyst","116,000","M"
2022,"MI","FT","Data Analyst","106,260","M"
2022,"MI","FT","Data Analyst","126,500","M"
2022,"EX","FT","Data Engineer","242,000","M"
2022,"EX","FT","Data Engineer","200,000","M"
2022,"MI","FT","Data Scientist"," 65,438","M"
2022,"MI","FT","Data Scientist"," 39,263","M"
2022,"MI","FT","Data Engineer"," 78,526","M"
2022,"MI","FT","Data Engineer"," 52,351","M"
2022,"SE","FT","Data Scientist","165,220","M"
2022,"EN","FT","Data Engineer"," 45,807","M"
2022,"SE","FT","Data Scientist","120,160","M"
2022,"SE","FT","Data Analyst"," 90,320","M"
2022,"SE","FT","Data Engineer","181,940","M"
2022,"SE","FT","Data Engineer","132,320","M"
2022,"SE","FT","Data Engineer","220,110","M"
2022,"SE","FT","Data Engineer","160,080","M"
2022,"SE","FT","Data Scientist","180,000","L"
2022,"SE","FT","Data Scientist","120,000","L"
2022,"SE","FT","Data Analyst","124,190","M"
2022,"EX","FT","Data Analyst","130,000","M"
2022,"EX","FT","Data Analyst","110,000","M"
2022,"SE","FT","Data Analyst","170,000","M"
2022,"MI","FT","Data Analyst","115,500","M"
2022,"SE","FT","Data Analyst","112,900","M"
2022,"SE","FT","Data Analyst"," 90,320","M"
2022,"SE","FT","Data Analyst","112,900","M"
2022,"SE","FT","Data Analyst"," 90,320","M"
2022,"SE","FT","Data Engineer","165,400","M"
2022,"SE","FT","Data Engineer","132,320","M"
2022,"MI","FT","Data Analyst","167,000","M"
2022,"SE","FT","Data Engineer","243,900","M"
2022,"SE","FT","Data Analyst","136,600","M"
2022,"SE","FT","Data Analyst","109,280","M"
2022,"SE","FT","Data Engineer","128,875","M"
2022,"SE","FT","Data Engineer"," 93,700","M"
2022,"EX","FT","Head of Data Science","224,000","M"
2022,"EX","FT","Head of Data Science","167,875","M"
2022,"EX","FT","Analytics Engineer","175,000","M"
2022,"SE","FT","Data Engineer","156,600","M"
2022,"SE","FT","Data Engineer","108,800","M"
2022,"SE","FT","Data Scientist"," 95,550","M"
2022,"SE","FT","Data Engineer","113,000","L"
2022,"SE","FT","Data Analyst","135,000","M"
2022,"SE","FT","Data Science Manager","161,342","M"
2022,"SE","FT","Data Science Manager","137,141","M"
2022,"SE","FT","Data Scientist","167,000","M"
2022,"SE","FT","Data Scientist","123,000","M"
2022,"SE","FT","Data Engineer"," 78,526","M"
2022,"SE","FT","Data Engineer"," 65,438","M"
2022,"SE","FT","Data Scientist","150,000","M"
2022,"SE","FT","Data Scientist","211,500","M"
2022,"SE","FT","Data Architect","192,400","M"
2022,"SE","FT","Data Architect"," 90,700","M"
2022,"SE","FT","Data Analyst","130,000","M"
2022,"SE","FT","Data Analyst"," 61,300","M"
2022,"SE","FT","Data Analyst","130,000","M"
2022,"SE","FT","Data Analyst"," 61,300","M"
2022,"SE","FT","Data Engineer","160,000","L"
2022,"SE","FT","Data Scientist","138,600","M"
2022,"SE","FT","Data Engineer","136,000","M"
2022,"MI","FT","Data Analyst"," 58,000","S"
2022,"EX","FT","Analytics Engineer","135,000","M"
2022,"SE","FT","Data Scientist","170,000","M"
2022,"SE","FT","Data Scientist","123,000","M"
2022,"SE","FT","Machine Learning Engineer","189,650","M"
2022,"SE","FT","Machine Learning Engineer","164,996","M"
2022,"MI","FT","ETL Developer"," 54,957","M"
2022,"MI","FT","ETL Developer"," 54,957","M"
2022,"EX","FT","Lead Data Engineer","118,187","S"
2022,"SE","FT","Data Analyst","132,000","M"
2022,"SE","FT","Data Engineer","165,400","M"
2022,"SE","FT","Data Architect","208,775","M"
2022,"SE","FT","Data Architect","147,800","M"
2022,"SE","FT","Data Engineer","136,994","M"
2022,"SE","FT","Data Engineer","101,570","M"
2022,"SE","FT","Data Analyst","128,875","M"
2022,"SE","FT","Data Analyst"," 93,700","M"
2022,"EX","FT","Head of Machine Learning"," 79,039","L"
2022,"SE","FT","Data Engineer","132,320","M"
2022,"EN","FT","Machine Learning Engineer"," 37,300","L"
2022,"SE","FT","Data Analyst","164,000","M"
2022,"SE","FT","Data Engineer","155,000","M"
2022,"MI","FT","Machine Learning Engineer","124,333","M"
2022,"MI","FT","Machine Learning Engineer"," 98,158","M"
2022,"MI","FT","AI Scientist","120,000","M"
2022,"SE","FT","Data Analyst","112,900","M"
2022,"SE","FT","Data Analyst"," 90,320","M"
2022,"SE","FT","Data Analytics Manager","145,000","M"
2022,"SE","FT","Data Analytics Manager","105,400","M"
2022,"MI","FT","Machine Learning Engineer"," 87,932","M"
2022,"MI","FT","Data Engineer","117,789","M"
2022,"SE","FT","Data Scientist","215,300","L"
2022,"SE","FT","Data Scientist","158,200","L"
2022,"SE","FT","Data Engineer","209,100","L"
2022,"SE","FT","Data Engineer","154,600","L"
2022,"SE","FT","Data Analyst","115,934","M"
2022,"SE","FT","Data Analyst"," 81,666","M"
2022,"SE","FT","Data Engineer","175,000","M"
2022,"MI","FT","Data Engineer"," 98,158","M"
2022,"MI","FT","Data Analyst"," 58,000","S"
2022,"SE","FT","Data Engineer","183,600","L"
2022,"MI","FT","Data Analyst"," 52,351","M"
2022,"SE","FT","Data Scientist","180,000","M"
2022,"MI","FT","Data Scientist"," 71,982","M"
2022,"MI","FT","Data Scientist"," 45,807","M"
2022,"MI","FT","Data Engineer"," 65,949","M"
2022,"MI","FT","Data Engineer"," 49,461","M"
2022,"MI","FT","Data Engineer"," 78,526","M"
2022,"MI","FT","Data Engineer"," 58,894","M"
2022,"SE","FT","Data Scientist","260,000","M"
2022,"SE","FT","Data Science Engineer"," 60,000","L"
2022,"MI","FT","Data Engineer"," 63,900","M"
2022,"MI","FT","Machine Learning Scientist","160,000","L"
2022,"MI","FT","Machine Learning Scientist","112,300","L"
2022,"MI","FT","Data Science Manager","241,000","M"
2022,"MI","FT","Data Science Manager","159,000","M"
2022,"SE","FT","Data Scientist","180,000","M"
2022,"SE","FT","Data Scientist"," 80,000","M"
2022,"MI","FT","Data Engineer"," 82,900","M"
2022,"SE","FT","Data Engineer","100,800","L"
2022,"MI","FT","Data Engineer"," 49,461","M"
2022,"SE","FT","Data Scientist","140,400","L"
2022,"MI","FT","Data Analyst"," 39,263","M"
2022,"MI","FT","Data Analyst"," 43,966","M"
2022,"MI","FT","Data Analyst"," 32,974","M"
2022,"MI","FT","Data Engineer"," 87,932","M"
2022,"MI","FT","Data Engineer"," 76,940","M"
2022,"MI","FT","Data Engineer","104,702","M"
2022,"MI","FT","Data Engineer"," 91,614","M"
2022,"MI","FT","Data Engineer"," 65,949","M"
2022,"MI","FT","Data Engineer"," 87,932","M"
2022,"SE","FT","Machine Learning Engineer","189,650","M"
2022,"SE","FT","Machine Learning Engineer","164,996","M"
2022,"MI","FT","Data Analyst"," 43,966","M"
2022,"MI","FT","Data Analyst"," 32,974","M"
2022,"MI","FT","Data Engineer"," 98,158","M"
2022,"MI","FT","Data Engineer"," 78,526","M"
2022,"SE","FT","Data Scientist","215,300","L"
2022,"MI","FT","Data Engineer"," 76,940","M"
2022,"SE","FT","Data Engineer","209,100","L"
2022,"SE","FT","Data Engineer","154,600","L"
2022,"SE","FT","Data Engineer","180,000","M"
2022,"EN","FT","ML Engineer"," 21,983","L"
2022,"SE","FT","Data Engineer"," 80,000","M"
2022,"MI","FT","Machine Learning Developer"," 78,791","M"
2022,"EX","FT","Director of Data Science","196,979","L"
2022,"MI","FT","Machine Learning Engineer","120,000","S"
2022,"EN","FT","Computer Vision Engineer","125,000","M"
2022,"MI","FT","NLP Engineer"," 37,236","L"
2022,"SE","FT","Data Engineer","105,000","M"
2022,"SE","FT","Lead Machine Learning Engineer"," 87,932","M"
2022,"MI","FT","Business Data Analyst"," 18,442","M"
2022,"MI","FT","Data Scientist"," 31,615","L"
2022,"MI","FT","Machine Learning Infrastructure Engineer"," 58,255","L"
2022,"EN","FT","Financial Data Analyst","100,000","L"
2022,"MI","PT","Data Engineer"," 54,957","L"
2022,"EN","FT","Data Scientist"," 18,442","M"
2022,"SE","FT","Principal Data Scientist","162,674","M"
2022,"EN","FT","Data Engineer","120,000","M"
2022,"SE","FT","Research Scientist","144,000","L"
2022,"SE","FT","Data Scientist","104,890","M"
2022,"SE","FT","Data Engineer","100,000","M"
2022,"SE","FT","Data Scientist","140,000","M"
2022,"MI","FT","Data Analyst","135,000","M"
2022,"MI","FT","Data Analyst"," 50,000","M"
2022,"SE","FT","Data Scientist","220,000","M"
2022,"SE","FT","Data Scientist","140,000","M"
2022,"MI","FT","Data Scientist","183,228","M"
2022,"MI","FT","Data Scientist"," 91,614","M"
2022,"SE","FT","Data Scientist","185,100","M"
2022,"SE","FT","Machine Learning Engineer","220,000","M"
2022,"MI","FT","Data Scientist","200,000","M"
2022,"MI","FT","Data Scientist","120,000","M"
2022,"SE","FT","Machine Learning Engineer","120,000","S"
2022,"SE","FT","Machine Learning Engineer"," 65,000","S"
2022,"EX","FT","Data Engineer","324,000","M"
2022,"EX","FT","Data Engineer","216,000","M"
2022,"SE","FT","Data Engineer","210,000","M"
2022,"SE","FT","Machine Learning Engineer","120,000","M"
2022,"SE","FT","Data Scientist","230,000","M"
2022,"EN","PT","Data Scientist","100,000","M"
2022,"MI","FL","Data Scientist","100,000","M"
2022,"EN","CT","Applied Machine Learning Scientist"," 31,875","M"
2022,"SE","FT","Head of Data","200,000","M"
2022,"MI","FT","Principal Data Analyst"," 75,000","S"
2022,"MI","FT","Data Scientist"," 35,590","L"
2022,"SE","FT","Machine Learning Developer"," 78,791","M"
2022,"SE","FT","Data Scientist","100,000","M"
2022,"MI","FT","Machine Learning Scientist","153,000","M"
2022,"EN","FT","Data Engineer"," 58,035","M"
2022,"SE","FT","Data Scientist","165,000","M"
2022,"SE","FT","Research Scientist"," 93,427","L"
2022,"EN","FT","Data Scientist"," 52,396","L"
2022,"SE","FT","Machine Learning Engineer"," 62,651","L"
2022,"MI","FT","Head of Data"," 32,974","S"
2022,"EN","FT","Data Scientist"," 40,000","L"
2022,"MI","FT","Machine Learning Engineer"," 87,425","L"
2022,"SE","FT","Data Engineer","115,000","M"
2022,"EN","FT","Data Scientist"," 86,703","M"
2022,"MI","FT","Applied Machine Learning Scientist"," 75,000","L"
2022,"MI","FT","Research Scientist"," 64,849","L"
2022,"EN","FT","Research Scientist","120,000","L"
2022,"MI","FT","Applied Data Scientist","157,000","L"
2022,"EN","FT","Computer Vision Software Engineer","150,000","S"
2022,"MI","FT","Business Data Analyst"," 70,912","L"
2022,"EN","FT","Data Engineer"," 65,000","S"
2022,"SE","FT","Machine Learning Engineer"," 71,444","S"
2022,"EN","FT","Data Analytics Engineer"," 20,000","M"
2022,"MI","FT","Data Scientist"," 48,000","S"
2022,"SE","FT","Data Science Manager","152,500","M"
2022,"MI","FT","Data Engineer"," 68,147","M"
2022,"MI","FT","Data Scientist","122,346","L"
2022,"SE","FT","Applied Data Scientist","380,000","L"
2022,"MI","FT","Data Scientist"," 69,336","M"
2022,"EN","FT","Computer Vision Engineer"," 10,000","M"
2022,"MI","FT","Data Analyst"," 20,000","S"
2022,"SE","FT","Data Analytics Lead","405,000","L"
2022,"MI","FT","Data Scientist","135,000","L"
2022,"SE","FT","Applied Data Scientist","177,000","L"
2022,"MI","FT","Data Scientist"," 78,000","M"
2022,"SE","FT","Data Analyst","135,000","M"
2022,"SE","FT","Data Analyst","100,000","M"
2022,"SE","FT","Data Analyst"," 90,320","M"
2022,"MI","FT","Data Analyst"," 85,000","M"
2022,"MI","FT","Data Analyst"," 75,000","M"
2022,"SE","FT","Machine Learning Engineer","214,000","M"
2022,"SE","FT","Machine Learning Engineer","192,600","M"
